# CSV file for the parameters definition of Soprolec cards.
# Syntax:
# First line = card identifier
# second line = column titles
# Then, one line per parameter
# Different controllers must be separated by an empty line

InterpCNC V3.16
num;name;unit;function;remark
3;EE_DEFAULT_SPEED;Hz;Default speed for linear and circular moves;Used by the card until a speed is provided with a V or L command
4;EE_DEFAULT_ACCEL;kHz/s;Default acceleration for linear and circular moves;
5;EE_DEFAULT_STARTF;Hz;default start frequency for linear and circular moves;
6;EE_XSENS;;Rotation direction of axis X;0 or 1
7;EE_YSENS;;Rotation direction of axis Y;0 or 1
8;EE_ZSENS;;Rotation direction of axis Z;0 or 1
29;EE_FDC_ORIGINEX;;Sensor input number for X axis zero calibration;disabled if 0
30;EE_FDC_ORIGINEY;;Sensor input number for Y axis zero calibration;disabled if 0
31;EE_FDC_ORIGINEZ;;Sensor input number for Z axis zero calibration;disabled if 0
41;EE_FDC_ORIGINEA;;Sensor input number for A axis zero calibration;disabled if 0
34;EE_MAX_COURSE_X;steps;Maximum move on axis X for a T, P, or H command;
35;EE_MAX_COURSE_Y;steps;Maximum move on axis Y for a T, P, or H command;
36;EE_MAX_COURSE_Z;steps;Maximum move on axis Z for a T, P, or H command;
42;EE_MAX_COURSE_A;steps;Maximum move on axis A for a T, P, or H command;
